"Package UID","Day","BreakFast","Lunch","Snacks","Dinner"
"DIABETIC F VEG","2","DF VEG FARMHOUSE WRAP","BROWN RICE KHICHDI WITH RAITA","VEG SPINACH CORN SOUP","VEG GRILLED PANEER IN ITALIAN HERBS"
"DIABETIC F VEG","3","DF VEG OATS UPMA","VEG PESTO MEAL","SMOOTHIE 4","VEG WRAP AND JUICE"
"DIABETIC F VEG","4","D.VEG SANDWICH AND SMOOTHIE","VEG HP BURRITTO BOWL","GREEK VEG SALAD","VEG FARMHOUSE SANDWICH"
"DIABETIC F VEG","5","DF CHICKPEAS PATTY WITH HUMMUS","VEG SALAD AND JUICE(ANY)","VEG MUSHROOM SOUP","VEG HP MEDITERRANEAN BOWL"
"DIABETIC F VEG","6","D.VEGPASTA SALAD","HIGH PROTEIN BOWL AND SMOOTHIE","VEG BROCCOLI SOUP","VEG GRILLED PANEER IN PESTO SAUCE"
"DIABETIC F VEG","7","D.VEG SALAD AND JUICE(ANY)","THREE BEANS VEG SALAD","VEG FARMHOUSE WRAP","VEG SOUP AND VEG SALAD"
"DIABETIC F VEG","8","DF VEG SMOKED PANEER WRAP","VEG SOUP AND VEG SALAD","FRUIT VEG SALAD","VEG GRILLED PANEER IN CILANTRO SAUCE"
"DIABETIC F VEG","9","SMOOTHIE 1","VEG THAI CURRY MEAL","CORN VEG SALAD","VEG HP MEXICAN BOWL"
"DIABETIC F VEG","10","D.VEGQUINOA SALAD","VEG HP PESTO BOWL","SMOOTHIE 2","VEG GRILLED PANEER IN PERI PERI SAUCE"
"DIABETIC F VEG","11","DF VEG OATS UPMA","VEG SMOKED PANEER WRAP","VEG TOMATO SOUP","VEG HP FALAFEL BOWL"
"DIABETIC F VEG","12","DF CHICKPEAS PATTY WITH HUMMUS","VEG FARMHOUSE SANDWICH","VEG LEMON CORIANDER SOUP","VEG SALAD AND JUICE(ANY)"
"DIABETIC F VEG","13","D.SMOKED VEG SANDWICH","VEG SALAD AND JUICE(ANY)","VEG BROCCOLI SOUP","VEG GRILLED PANEER IN INDIAN HERBS"
"DIABETIC F VEG","14","DF.VEG GRILLED PANEER IN INDIAN HERBS","VEG FARMHOUSE WRAP","SMOOTHIE 3","VEG HP BURRITTO BOWL"
"DIABETIC F VEG","15","DF VEG MUSHROOM WRAP","VEG SOUP AND VEG SALAD","FRUIT VEG SALAD","VEG HP MEXICAN BOWL"
"DIABETIC F VEG","16","SMOOTHIE 3","VEG HP FALAFEL BOWL","VEG SALAD AND JUICE(ANY)","VEG LEMON CORIANDER SOUP"
"DIABETIC F VEG","17","D.VEGSOYA SALAD","HIGH PROTEIN BOWL AND SMOOTHIE","VEG MUSHROOM SOUP","VEG GRILLED PANEER IN PESTO SAUCE"
"DIABETIC F VEG","18","DF CHICKPEAS PATTY WITH HUMMUS","VEG THAI CURRY MEAL","SAUTE VEGGIES VEG SALAD","VEG SALAD AND SMOOTHIE(ANY)"
"DIABETIC F VEG","19","DF VEG OATS UPMA","HIGH PROTEIN BOWL AND SMOOTHIE","GREEK VEG SALAD","VEG SMOKED PANEER WRAP"
"DIABETIC F VEG","20","D.CILANTRO VEG SANDWICH","VEG SALAD AND JUICE(ANY)","SMOOTHIE 5","VEG HP THAI BUDDHA BOWL"
"DIABETIC F VEG","21","D.VEGTHREE BEANS SALAD","VEG HP BURRITTO BOWL","VEG OATS UPMA","VEG SOUP AND VEG SALAD"
"DIABETIC F VEG","22","DF VEG PESTO WRAP","GRILLED MUSHROOM WITH VEGGIES","VEG FARMHOUSE SANDWICH","VEG SALAD AND SMOOTHIE(ANY)"
"DIABETIC F VEG","23","SMOOTHIE 5","VEG PANEER WRAP AND SOUP","VEG TOMATO SOUP","VEG HP FALAFEL BOWL"
"DIABETIC F VEG","24","DF.VEG GRILLED PANEER IN CILANTRO SAUCE","VEG HP THAI BUDDHA BOWL","CHANA VEG SALAD","VEG SALAD AND JUICE(ANY)"
"DIABETIC F VEG","25","D.VEGFRUIT SALAD","HIGH PROTEIN BOWL AND SMOOTHIE","VEG PUMPKIN SOUP","VEG SMOKED PANEER SANDWICH"
"DIABETIC F VEG","26","DF.VEG SLIM PASTA","VEG SALAD AND JUICE(ANY)","VEG CILANTRO WRAP","VEG GRILLED PANEER IN PERI PERI SAUCE"
"DIABETIC F VEG","27","D.VEGSPROUTS SALAD","VEG HP MEDITERRANEAN BOWL","SMOOTHIE 3","VEG SMOKED PANEER WRAP"
"DIABETIC F VEG","28","DF CHICKPEAS PATTY WITH HUMMUS","VEG HP INDIAN VEGGIES BOWL","THREE BEANS VEG SALAD","VEG PUMPKIN SOUP"
"DIABETIC F VEG","29","D. VEG FARMHOUSE SANDWICH","VEG SALAD AND JUICE(ANY)","SMOOTHIE 6","VEG HP MEXICAN BOWL"
"DIABETIC F VEG","30","DF VEG PESTO WRAP","VEG GRILLED PANEER IN PERI PERI SAUCE","SPROUTS VEG SALAD","VEG HP MEDITERRANEAN BOWL"
"DIABETIC F VEG","31","SMOOTHIE 6","VEG HP FALAFEL BOWL","CAESAR VEG SALAD","VEG SOUP AND VEG SALAD"
"DIABETIC F CHICKEN","1","CHICKEN D. ALFREDO SANDWICH","CHICKEN SOUP AND CHICKEN SALAD","CHICKEN SAUTE VEGGIES SALAD","GRILLED CHICKEN IN ITALIAN HERBS"
"DIABETIC F CHICKEN","2","SMOKED DF CHICKEN WRAP","BROWN RICE KHICHDI WITH RAITA","CHICKEN SPINACH CORN SOUP","GRILLED CHICKEN IN ITALIAN HERBS"
"DIABETIC F CHICKEN","3","DF CHICKEN OATS UPMA","CHICKEN PESTO MEAL","SMOOTHIE 4","CHICKEN WRAP AND JUICE"
"DIABETIC F CHICKEN","4","D.CHICKEN SALAD AND SMOOTHIE(ANY)","CHICKENHP MARINARA BOWL","CHICKEN GREEK SALAD","PESTO CHICKEN SANDWICH"
"DIABETIC F CHICKEN","5","DF CHICKPEAS PATTY WITH HUMMUS","CHICKEN SALAD AND JUICE(ANY)","CHICKEN MUSHROOM SOUP","CHICKENHP MEDITERRANEAN BOWL"
"DIABETIC F CHICKEN","6","CHICKEN D.PASTA SALAD","HIGH PROTEIN BOWL AND SMOOTHIE","CHICKEN BROCCOLI SOUP","GRILLED CHICKEN IN INDIAN HERBS"
"DIABETIC F CHICKEN","7","CILANTRO CHICKEN D. SANDWICH","CHICKEN THREE BEANS SALAD","CILANTRO CHICKEN WRAP","CHICKEN SOUP AND CHICKEN SALAD"
"DIABETIC F CHICKEN","8","DF CHICKEN ALFREDO WRAP","CHICKEN SOUP AND CHICKEN SALAD","CHICKEN GREEK SALAD","GRILLED CHICKEN IN CILANTRO SAUCE"
"DIABETIC F CHICKEN","9","SMOOTHIE 1","CHICKEN THAI CURRY MEAL","CHICKEN CHANA SALAD","CHICKENHP MEXICAN BOWL"
"DIABETIC F CHICKEN","10","CHICKEN D.QUINOA SALAD","CHICKENHP MEDITERRANEAN BOWL","SMOOTHIE 2","GRILLED CHICKEN IN PERI PERI SAUCE"
"DIABETIC F CHICKEN","11","DF CHICKEN OATS UPMA","CHICKEN ALFREDO WRAP","CHICKEN TOMATO SOUP","CHICKENHP FALAFEL BOWL"
"DIABETIC F CHICKEN","12","DF CHICKEN PATTY WITH HUMMUS","CILANTRO CHICKEN SANDWICH","CHICKEN LEMON CORIANDER SOUP","CHICKEN SALAD AND JUICE(ANY)"
"DIABETIC F CHICKEN","13","CILANTRO CHICKEN D. SANDWICH","CHICKEN SALAD AND JUICE(ANY)","CHICKEN BROCCOLI SOUP","GRILLED CHICKEN IN INDIAN HERBS"
"DIABETIC F CHICKEN","14","DF. GRILLED CHICKEN IN PESTO SAUCE","SMOKED CHICKEN WRAP","SMOOTHIE 3","CHICKENHP BURRITTO BOWL"
"DIABETIC F CHICKEN","15","DF CHICKEN MUSHROOM WRAP","CHICKEN SOUP AND CHICKEN SALAD","CHICKEN SAUTE VEGGIES SALAD","CHICKENHP MEXICAN BOWL"
"DIABETIC F CHICKEN","16","SMOOTHIE 3","CHICKENHP FALAFEL BOWL","CHICKEN SALAD AND JUICE(ANY)","CHICKEN LEMON CORIANDER SOUP"
"DIABETIC F CHICKEN","17","CHICKEN D.SAUTE VEGGIES SALAD","HIGH PROTEIN BOWL AND SMOOTHIE","CHICKEN MUSHROOM SOUP","GRILLED CHICKEN IN PESTO SAUCE"
"DIABETIC F CHICKEN","18","DF CHICKEN PATTY WITH HUMMUS","CHICKEN THAI CURRY MEAL","CHICKEN SAUTE VEGGIES SALAD","CHICKEN SALAD AND SMOOTHIE(ANY)"
"DIABETIC F CHICKEN","19","DF CHICKEN OATS UPMA","HIGH PROTEIN BOWL AND SMOOTHIE","CHICKEN GREEK SALAD","SMOKED CHICKEN WRAP"
"DIABETIC F CHICKEN","20","CHICKEN MUSHROOM SANDWICH","CHICKEN SALAD AND JUICE(ANY)","SMOOTHIE 5","CHICKENHP THAI BUDDHA BOWL"
"DIABETIC F CHICKEN","21","CHICKEN THREE BEANS SALAD","CHICKENHP BURRITTO BOWL","CHICKEN OATS UPMA","CHICKEN SOUP AND CHICKEN SALAD"
"DIABETIC F CHICKEN","22","PESTO DF CHICKEN WRAP","GRILLED CHICKEN IN ITALIAN HERBS","PESTO CHICKEN SANDWICH","CHICKEN SALAD AND SMOOTHIE(ANY)"
"DIABETIC F CHICKEN","23","SMOOTHIE 5","CHICKEN WRAP AND SOUP","CHICKEN TOMATO SOUP","CHICKENHP FALAFEL BOWL"
"DIABETIC F CHICKEN","24","DF.VEG GRILLED PANEER IN ITALIAN HERBS","CHICKENHP THAI BUDDHA BOWL","CHICKEN CHANA SALAD","CHICKEN SALAD AND JUICE(ANY)"
"DIABETIC F CHICKEN","25","CHICKEN D.PASTA SALAD","HIGH PROTEIN BOWL AND SMOOTHIE","CHICKEN PUMPKIN SOUP","SMOKED CHICKEN SANDWICH"
"DIABETIC F CHICKEN","26","DF.CHICKEN SLIM PASTA","CHICKEN SALAD AND JUICE(ANY)","CILANTRO CHICKEN WRAP","GRILLED CHICKEN IN PERI PERI SAUCE"
"DIABETIC F CHICKEN","27","CHICKEN D.CAESAR SALAD","CHICKENHP MEDITERRANEAN BOWL","SMOOTHIE 3","SMOKED CHICKEN WRAP"
"DIABETIC F CHICKEN","28","DF CHICKEN PATTY WITH HUMMUS","CHICKENHP INDIAN VEGGIES BOWL","CHICKEN THREE BEANS SALAD","CHICKEN PUMPKIN SOUP"
"DIABETIC F CHICKEN","29","PESTO CHICKEN D. SANDWICH","CHICKEN SALAD AND JUICE(ANY)","SMOOTHIE 6","CHICKENHP MEXICAN BOWL"
"DIABETIC F CHICKEN","30","DF CHICKEN ALFREDO WRAP","GRILLED CHICKEN IN PERI PERI SAUCE","CHICKEN SPROUTS SALAD","CHICKENHP MEDITERRANEAN BOWL"
"DIABETIC F CHICKEN","31","SMOOTHIE 6","CHICKENHP FALAFEL BOWL","CHICKEN CAESAR SALAD","CHICKEN SOUP AND CHICKEN SALAD"
"DIABETIC F VEGAN","1","D.VEGAN FARMHOUSE SANDWICH","VEGAN SALAD AND JUICE(ANY)","VEGAN SAUTE VEGGIES SALAD","GRILLED TOFU IN ITALIAN HERBS"
"DIABETIC F VEGAN","2","DF VEGAN SMOKED TOFU WRAP","BROWN RICE KHICHDI WITH RAITA","VEGAN SPINACH CORN SOUP","GRILLED TOFU IN ITALIAN HERBS"
"DIABETIC F VEGAN","3","DF VEG OATS UPMA","GRILLED TOFU IN INDIAN HERBS MEAL","SMOOTHIE 4","VEGAN WRAP AND JUICE"
"DIABETIC F VEGAN","4","DF.VEGAN SOUP AND VEGAN SALAD","VEGAN WRAP AND JUICE","VEGAN GREEK SALAD","VEGAN PESTO SANDWICH"
"DIABETIC F VEGAN","5","DF CHICKPEAS PATTY WITH HUMMUS","VEGAN SALAD AND JUICE(ANY)","VEGAN MUSHROOM SOUP","VEGAN HP MEDITERRANEAN BOWL"
"DIABETIC F VEGAN","6","VEGAN D.PASTA SALAD","HIGH PROTEIN BOWL AND SMOOTHIE","VEGAN BROCCOLI SOUP","GRILLED TOFU IN INDIAN HERBS"
"DIABETIC F VEGAN","7","D.CILANTRO VEGAN SANDWICH","VEGAN THREE BEANS SALAD","VEGAN FARM HOUSE WRAP","VEGAN QUINOA SALAD"
"DIABETIC F VEGAN","8","DF VEGAN PESTO WRAP","VEGAN WRAP AND SOUP","VEGAN GREEK SALAD","GRILLED TOFU IN CILANTRO SAUCE"
"DIABETIC F VEGAN","9","SMOOTHIE 1","VEG THAI CURRY MEAL","VEGAN CHANA SALAD","DF VEGAN HP MEXICAN BOWL"
"DIABETIC F VEGAN","10","VEGAN D.QUINOA SALAD","VEGAN HP MEDITERRANEAN BOWL","SMOOTHIE 2","GRILLED TOFU IN PERI PERI SAUCE"
"DIABETIC F VEGAN","11","DF VEG OATS UPMA","VEGAN MUSHROOM WRAP","VEGAN TOMATO SOUP","VEGAN HP FALAFEL BOWL"
"DIABETIC F VEGAN","12","DF CHICKPEAS PATTY WITH HUMMUS","VEGAN CILANTRO SANDWICH","VEGAN LEMON CORIANDER SOUP","VEGAN SALAD AND JUICE(ANY)"
"DIABETIC F VEGAN","13","D.VEGAN MUSHROOM SANDWICH","VEGAN SALAD AND JUICE(ANY)","VEGAN BROCCOLI SOUP","GRILLED TOFU IN INDIAN HERBS"
"DIABETIC F VEGAN","14","DF.VEGAN GRILLED tofu IN PESTO SAUCE","VEGAN SMOKED TOFU WRAP","SMOOTHIE 3","VEGAN HP BURRITTO BOWL"
"DIABETIC F VEGAN","15","DF VEGAN SMOKED TOFU WRAP","DF.VEGAN SOUP AND VEGAN SALAD","VEGAN SAUTE VEGGIES SALAD","VEGAN HP MEXICAN BOWL"
"DIABETIC F VEGAN","16","SMOOTHIE 3","VEGAN HP FALAFEL BOWL","VEGAN SALAD AND JUICE(ANY)","VEGAN LEMON CORIANDER SOUP"
"DIABETIC F VEGAN","17","VEGAN D.SAUTE VEGGIES SALAD","HIGH PROTEIN BOWL AND SMOOTHIE","VEGAN MUSHROOM SOUP","GRILLED TOFU IN PESTO SAUCE"
"DIABETIC F VEGAN","18","DF CHICKPEAS PATTY WITH HUMMUS","DF.VEGAN THAI CURRY MEAL","VEGAN SAUTE VEGGIES SALAD","VEGAN SALAD AND SMOOTHIE(ANY)"
"DIABETIC F VEGAN","19","DF VEG OATS UPMA","HIGH PROTEIN BOWL AND SMOOTHIE","VEGAN GREEK SALAD","VEGAN SMOKED TOFU WRAP"
"DIABETIC F VEGAN","20","D.CILANTRO VEGAN SANDWICH","VEGAN SALAD AND JUICE(ANY)","SMOOTHIE 5","VEGAN HP THAI BUDDHA BOWL"
"DIABETIC F VEGAN","21","VEGAN D.THREE BEANS SALAD","VEGAN HP BURRITTO BOWL","VEG OATS UPMA","DF.VEGAN SOUP AND VEGAN SALAD"
"DIABETIC F VEGAN","22","DF VEGAN PESTO WRAP","GRILLED TOFU IN ITALIAN HERBS","VEGAN PESTO SANDWICH","VEGAN SALAD AND SMOOTHIE(ANY)"
"DIABETIC F VEGAN","23","SMOOTHIE 5","VEGAN WRAP AND SOUP","VEGAN TOMATO SOUP","VEGAN HP FALAFEL BOWL"
"DIABETIC F VEGAN","24","DF.VEGAN GRILLED tofu IN ITALIAN HERBS","VEGAN HP THAI BUDDHA BOWL","VEGAN CHANA SALAD","VEGAN SALAD AND JUICE(ANY)"
"DIABETIC F VEGAN","25","VEGAN D.PASTA SALAD","HIGH PROTEIN BOWL AND SMOOTHIE","VEGAN PUMPKIN SOUP","VEGAN SANDWICH"
"DIABETIC F VEGAN","26","DF.VEGAN SLIM PASTA","VEGAN SALAD AND JUICE(ANY)","VEGAN SMOKED TOFU WRAP","GRILLED TOFU IN PERI PERI SAUCE MEAL"
"DIABETIC F VEGAN","27","VEGAN D.THREE BEANS SALAD","VEGAN HP MEDITERRANEAN BOWL","SMOOTHIE 3","VEGAN SMOKED TOFU WRAP"
"DIABETIC F VEGAN","28","CHICKPEAS PATTY WITH HUMMUS","VEGAN HP INDIAN VEGGIES BOWL","VEGAN THREE BEANS SALAD","VEGAN PUMPKIN SOUP"
"DIABETIC F VEGAN","29","D.PESTO VEGAN SANDWICH","VEGAN SALAD AND JUICE(ANY)","SMOOTHIE 6","VEGAN HP MEXICAN BOWL"
"DIABETIC F VEGAN","30","DF VEGAN SMOKED TOFU WRAP","GRILLED TOFU IN PERI PERI SAUCE","VEGAN D.SPROUTS SALAD","VEGAN HP MEDITERRANEAN BOWL"
"DIABETIC F VEGAN","31","SMOOTHIE 6","VEGAN HP FALAFEL BOWL","VEGAN CAESAR SALAD","DF.VEGAN SOUP AND VEGAN SALAD"
"DIABETIC F PES","1","D.FISH/PRAWNS ALFREDO SANDWICH","GFREE. FISH/PRAWNS SOUP AND SALAD","FISH/PRAWNS SAUTE VEGGIES SALAD","GRILLED FISH/PRAWNS IN ITALIAN HERBS"
"DIABETIC F PES","2","DF FISH/PRAWNS WRAP","BROWN RICE KHICHDI WITH RAITA","FISH/PRAWNS SPINACH CORN SOUP","FISH/PRAWNSHP PESTO BOWL"
"DIABETIC F PES","3","DF FISH OATS UPMA","GF PESTO MEAL","SMOOTHIE 4","FISH/PRAWNS WRAP AND JUICE"
"DIABETIC F PES","4","D.FISH/PRAWNS SALAD AND SMOOTHIE(ANY)","FISH/PRAWNSHP MARINARA BOWL","FISH/PRAWNS GREEK SALAD","FISH PESTO SANDWICH"
"DIABETIC F PES","5","DF FISH CHICKPEAS WITH HUMMUS","D.FISH/PRAWNS SALAD AND JUICE(ANY)","FISH/PRAWNS MUSHROOM SOUP","FISH/PRAWNSHP MEDITERRANEAN BOWL"
"DIABETIC F PES","6","FISH/PRAWNS D.PASTA SALAD","HIGH PROTEIN BOWL AND SMOOTHIE","FISH/PRAWNS BROCCOLI SOUP","GRILLED DF. FISH/PRAWNS IN INDIAN HERBS"
"DIABETIC F PES","7","PESTO D.FISH/PRAWNS SANDWICH","FISH/PRAWNS THREE BEANS SALAD","FISH/PRAWNS WRAP","FISH/PRAWNS SOUP AND SALAD"
"DIABETIC F PES","8","DF FISH/PRAWNS CILANTRO WRAP","GFREE. FISH/PRAWNS SOUP AND SALAD","FISH/PRAWNS GREEK SALAD","GRILLED FISH/PRAWNS IN CILANTRO SAUCE"
"DIABETIC F PES","9","SMOOTHIE 1","D.FISH/PRAWNS THAI CURRY MEAL","FISH/PRAWNS SAUTE VEGGIES SALAD","FISH/PRAWNSHP MEXICAN BOWL"
"DIABETIC F PES","10","FISH/PRAWNS D.QUINOA SALAD","FISH/PRAWNSHP MEDITERRANEAN BOWL","SMOOTHIE 2","GRILLED FISH/PRAWNS IN PERI PERI SAUCE"
"DIABETIC F PES","11","DF FISH OATS UPMA","FISH/PRAWNS PESTO WRAP","FISH/PRAWNS TOMATO SOUP","FISH/PRAWNSHP FALAFEL BOWL"
"DIABETIC F PES","12","DF FISH CHICKPEAS WITH HUMMUS","FISH CILANTRO SANDWICH","FISH/PRAWNS LEMON CORIANDER SOUP","FISH/PRAWNS SALAD AND JUICE(ANY)"
"DIABETIC F PES","13","D.FISH/PRAWNS MUSHROOM SANDWICH","D.FISH/PRAWNS SALAD AND JUICE(ANY)","FISH/PRAWNS BROCCOLI SOUP","GRILLED FISH/PRAWNS IN INDIAN HERBS"
"DIABETIC F PES","14","GRILLED DF. FISH/PRAWNS IN PESTO SAUCE","FISH/PRAWNS WRAP","SMOOTHIE 3","FISH/PRAWNSHP BURRITTO BOWL"
"DIABETIC F PES","15","DF FISH/PRAWNS CILANTRO WRAP","GFREE. FISH/PRAWNS SOUP AND SALAD","FISH/PRAWNS SAUTE VEGGIES SALAD","FISH/PRAWNSHP MEXICAN BOWL"
"DIABETIC F PES","16","SMOOTHIE 3","FISH/PRAWNSHP FALAFEL BOWL","FISH/PRAWNS SALAD AND JUICE(ANY)","FISH/PRAWNS LEMON CORIANDER SOUP"
"DIABETIC F PES","17","FISH/PRAWNS D.SAUTE VEGGIES SALAD","HIGH PROTEIN BOWL AND SMOOTHIE","FISH/PRAWNS MUSHROOM SOUP","GRILLED FISH/PRAWNS IN PESTO SAUCE"
"DIABETIC F PES","18","DF FISH CHICKPEAS WITH HUMMUS","D.FISH/PRAWNS THAI CURRY MEAL","FISH/PRAWNS SAUTE VEGGIES SALAD","FISH/PRAWNS SALAD AND SMOOTHIE(ANY)"
"DIABETIC F PES","19","DF FISH OATS UPMA","HIGH PROTEIN BOWL AND SMOOTHIE","FISH/PRAWNS GREEK SALAD","FISH/PRAWNS WRAP"
"DIABETIC F PES","20","CILANTRO D.FISH/PRAWNS SANDWICH","D.FISH/PRAWNS SALAD AND JUICE(ANY)","SMOOTHIE 5","FISH/PRAWNSHP THAI BUDDHA BOWL"
"DIABETIC F PES","21","FISH/PRAWNS D.THREE BEANS SALAD","FISH/PRAWNSHP BURRITTO BOWL","FISH OATS UPMA","FISH/PRAWNS SOUP AND SALAD"
"DIABETIC F PES","22","DF FISH/PRAWNS CILANTRO WRAP","GRILLED FISH/PRAWNS IN ITALIAN HERBS","FISH SANDWICH","FISH/PRAWNS SALAD AND SMOOTHIE(ANY)"
"DIABETIC F PES","23","SMOOTHIE 5","FISH/PRAWNS WRAP AND SOUP","FISH/PRAWNS TOMATO SOUP","FISH/PRAWNSHP FALAFEL BOWL"
"DIABETIC F PES","24","GRILLED DF. FISH/PRAWNS IN ITALIAN HERBS","FISH/PRAWNSHP THAI BUDDHA BOWL","FISH/PRAWNS CHANA SALAD","FISH/PRAWNS SALAD AND JUICE(ANY)"
"DIABETIC F PES","25","FISH/PRAWNS D.PASTA SALAD","HIGH PROTEIN BOWL AND SMOOTHIE","FISH/PRAWNS PUMPKIN SOUP","FISH CILANTRO SANDWICH"
"DIABETIC F PES","26","DF. FISH/PRAWNS SLIM PASTA","D.FISH/PRAWNS SALAD AND JUICE(ANY)","FISH/PRAWNS WRAP","GRILLED FISH/PRAWNS IN PERI PERI SAUCE"
"DIABETIC F PES","27","FISH/PRAWNS D.THREE BEANS SALAD","FISH/PRAWNSHP MEDITERRANEAN BOWL","SMOOTHIE 3","FISH/PRAWNS PESTO WRAP"
"DIABETIC F PES","28","DF FISH CHICKPEAS WITH HUMMUS","FISH/PRAWNSHP INDIAN VEGGIES BOWL","FISH/PRAWNS THREE BEANS SALAD","FISH/PRAWNS PUMPKIN SOUP"
"DIABETIC F PES","29","D.FISH/PRAWNS MUSHROOM SANDWICH","D.FISH/PRAWNS SALAD AND JUICE(ANY)","SMOOTHIE 6","FISH/PRAWNSHP MEXICAN BOWL"
"DIABETIC F PES","30","DF FISH/PRAWNS CILANTRO WRAP","GRILLED FISH/PRAWNS IN PERI PERI SAUCE","FISH/PRAWNS D.SPROUTS SALAD","FISH/PRAWNSHP MEDITERRANEAN BOWL"
"DIABETIC F PES","31","SMOOTHIE 6","FISH/PRAWNSHP FALAFEL BOWL","FISH/PRAWNS CAESAR SALAD","FISH/PRAWNS SALAD AND JUICE(ANY)"
"DIABETIC F EAGEN","1","D.EGG CILANTRO SANDWICH","EGG QUINOA SALAD","EGG SAUTE VEGGIES SALAD","EGG CILANTRO SANDWICH"
"DIABETIC F EAGEN","2","DF OMELETTE WRAP","BROWN RICE KHICHDI WITH RAITA","DF EGGS SPINACH CORN SOUP","EGG SAUTE VEGGIES SALAD"
"DIABETIC F EAGEN","3","DF EGGS OATS UPMA","EGG PESTO MEAL","SMOOTHIE 4","EGGS WRAP AND JUICE"
"DIABETIC F EAGEN","4","D.EGGS SALAD AND SMOOTHIE(ANY)","EGGSHP MARINARA BOWL","EGG D.GREEK SALAD","EGG PESTO SANDWICH"
"DIABETIC F EAGEN","5","DF EGG CHICKPEAS WITH HUMMUS","EGGS SALAD AND JUICE(ANY)","VEG MUSHROOM SOUP WITH EGG","EGGSHP MEDITERRANEAN BOWL"
"DIABETIC F EAGEN","6","EGG D.PASTA SALAD","HIGH PROTEIN BOWL AND SMOOTHIE","DF EGGS BROCCOLI SOUP","EGGS SALAD AND SOUP"
"DIABETIC F EAGEN","7","D.EGG PESTO SANDWICH","EGG THREE BEANS SALAD","EGG CILANTRO WRAP","BOILED EGGS WITH VEGGIES AND SAUCE"
"DIABETIC F EAGEN","8","DF BOILED EGGS WRAP","EGGS SALAD AND SOUP","EGG D.GREEK SALAD","BOILED EGG SANDWICH"
"DIABETIC F EAGEN","9","SMOOTHIE 1","EGG THAI CURRY MEAL","EGG CAESAR SALAD","EGGSHP MEXICAN BOWL"
"DIABETIC F EAGEN","10","EGG D.QUINOA SALAD","EGGSHP MEDITERRANEAN BOWL","SMOOTHIE 2","EGG SANDWICH AND SOUP"
"DIABETIC F EAGEN","11","DF EGGS OATS UPMA","EGG PESTO SANDWICH","PCOD EGGS TOMATO SOUP","EGGSHP FALAFEL BOWL"
"DIABETIC F EAGEN","12","DF EGG CHICKPEAS WITH HUMMUS","EGG CILANTRO SANDWICH","DF EGGS LEMON CORIANDER SOUP","EGGS SALAD AND JUICE(ANY)"
"DIABETIC F EAGEN","13","D.EGG CILANTRO SANDWICH","EGGS SALAD AND JUICE(ANY)","VEG SPINACH CORN SOUP WITH EGGS","BOILED EGGS WRAP AND SOUP"
"DIABETIC F EAGEN","14","EGG D.SAUTE VEGGIES SALAD","EGGS WRAP AND SMOOTHIE","SMOOTHIE 3","EGGSHP BURRITTO BOWL"
"DIABETIC F EAGEN","15","DF OMELETTE WRAP","BOILED EGG RICE WITH SALAD","EGG SAUTE VEGGIES SALAD","EGGSHP MEXICAN BOWL"
"DIABETIC F EAGEN","16","SMOOTHIE 3","EGGSHP FALAFEL BOWL","EGGS SALAD AND JUICE(ANY)","VEG LEMON CORIANDER SOUP WITH EGG"
"DIABETIC F EAGEN","17","EGG D.SAUTE VEGGIES SALAD","HIGH PROTEIN BOWL AND SMOOTHIE","VEG BROCCOLI SOUP WITH EGGS","EGG OMELETTE AND VEGGIES"
"DIABETIC F EAGEN","18","DF EGG CHICKPEAS WITH HUMMUS","EGG THAI CURRY MEAL","EGG SAUTE VEGGIES SALAD","EGGS SALAD AND SMOOTHIE(ANY)"
"DIABETIC F EAGEN","19","DF EGGS OATS UPMA","HIGH PROTEIN BOWL AND SMOOTHIE","EGG D.GREEK SALAD","DF EGG CILANTRO WRAP"
"DIABETIC F EAGEN","20","D.EGG PESTO SANDWICH","EGGS SALAD AND JUICE(ANY)","SMOOTHIE 5","EGGSHP THAI BUDDHA BOWL"
"DIABETIC F EAGEN","21","EGG D.THREE BEANS SALAD","EGGSHP BURRITTO BOWL","DF EGGS OATS UPMA","EGGS SALAD AND SOUP"
"DIABETIC F EAGEN","22","DF EGG PESTO WRAP","EGGSHP DELICIOUS DESI BOWL","EGG PESTO SANDWICH","EGGS SALAD AND SMOOTHIE(ANY)"
"DIABETIC F EAGEN","23","SMOOTHIE 5","BOILED EGGS WRAP AND SOUP","VEG TOMATO SOUP WITH EGGS","EGGSHP FALAFEL BOWL"
"DIABETIC F EAGEN","24","D.OMELETTE SANDWICH","EGGSHP THAI BUDDHA BOWL","EGG CHANA SALAD","EGGS SALAD AND JUICE(ANY)"
"DIABETIC F EAGEN","25","EGG D.PASTA SALAD","HIGH PROTEIN BOWL AND SMOOTHIE","VEG PUMPKIN SOUP WITH EGGS","BOILED EGG SANDWICH"
"DIABETIC F EAGEN","26","EGG D.GREEK SALAD","EGGS SALAD AND JUICE(ANY)","OMELETTE WRAP","EGGSHP MEXICAN BOWL"
"DIABETIC F EAGEN","27","EGG D.THREE BEANS SALAD","EGGSHP MEDITERRANEAN BOWL","SMOOTHIE 3","EGG PESTO WRAP"
"DIABETIC F EAGEN","28","DF EGG CHICKPEAS WITH HUMMUS","EGGSHP INDIAN VEGGIES BOWL","EGG THREE BEANS SALAD","VEG PUMPKIN SOUP WITH EGGS"
